epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,822.246,1.05331,0.91626,1.28314,0.84577,0.7647,0.82616,0.42907,1.51422,1.31165,1.87972,0.00035382,0.00035382,0.00035382
40,847.288,1.06188,0.94125,1.30128,0.80169,0.75683,0.83768,0.45281,1.4555,1.18818,1.82403,0.000325526,0.000325526,0.000325526
41,11758.3,0.98319,0.81689,1.30403,0.8038,0.84096,0.78674,0.427,1.46059,1.22811,1.85005,0.000297232,0.000297232,0.000297232
42,11786.3,0.98803,0.78971,1.30386,0.73402,0.79787,0.75918,0.41511,1.39772,1.22516,1.80376,0.000268938,0.000268938,0.000268938
43,11811.1,0.98163,0.7608,1.31909,0.848,0.74205,0.7494,0.41364,1.45508,1.24506,1.85217,0.000240644,0.000240644,0.000240644
44,11835.8,0.94391,0.72256,1.30677,0.88848,0.67802,0.75412,0.42323,1.44368,1.2665,1.87538,0.000212349,0.000212349,0.000212349
45,11869.6,0.91561,0.69241,1.26519,0.81459,0.7096,0.77865,0.43156,1.46407,1.2162,1.88129,0.000184055,0.000184055,0.000184055
46,11901.9,0.92195,0.6952,1.26146,0.78999,0.72359,0.77564,0.41502,1.41602,1.34048,1.85161,0.000155761,0.000155761,0.000155761
47,11932.7,0.88494,0.65763,1.24395,0.77716,0.72963,0.77475,0.42078,1.42617,1.33366,1.8574,0.000127467,0.000127467,0.000127467
48,11961.9,0.86714,0.63738,1.20251,0.78353,0.75,0.76838,0.42436,1.41468,1.25104,1.84609,9.91726e-05,9.91726e-05,9.91726e-05
49,11989.2,0.85725,0.65997,1.2183,0.74508,0.72042,0.79529,0.44014,1.40015,1.21527,1.82782,7.08784e-05,7.08784e-05,7.08784e-05
50,12024.7,0.85865,0.64429,1.20583,0.7543,0.70861,0.7828,0.42991,1.40314,1.20082,1.82721,4.25842e-05,4.25842e-05,4.25842e-05
