epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0223,1.67153,3.46795,1.86523,0.00637,0.92929,0.19664,0.08498,1.49077,3.20413,1.92476,0.00045728,0.00045728,0.00045728
2,34.701,1.52867,2.71409,1.68261,0.57833,0.13431,0.2326,0.08171,2.07551,2.98361,2.42435,0.000910459,0.000910459,0.000910459
3,49.342,1.66323,2.56753,1.76204,0.45935,0.07955,0.09472,0.02264,2.4178,3.4793,3.35552,0.00134496,0.00134496,0.00134496
4,63.3605,1.67176,2.55092,1.80542,0.88489,0.27692,0.41184,0.11159,2.46442,3.31638,2.97388,0.00134412,0.00134412,0.00134412
5,76.9964,1.65582,2.37818,1.80236,0.56333,0.44511,0.47596,0.18934,2.03103,2.65051,2.51791,0.00131582,0.00131582,0.00131582
6,90.9386,1.65617,2.30005,1.76823,0.36584,0.51263,0.37198,0.18299,1.92278,2.56179,2.42309,0.00128753,0.00128753,0.00128753
7,104.558,1.57066,2.13347,1.67571,0.48865,0.39692,0.47672,0.21683,1.85532,2.24246,2.27899,0.00125923,0.00125923,0.00125923
8,118.806,1.63952,2.08855,1.69543,0.41998,0.59061,0.50201,0.19378,1.82152,2.42834,2.20557,0.00123094,0.00123094,0.00123094
9,133.539,1.5383,1.94583,1.64942,0.51222,0.46672,0.535,0.21152,1.92301,1.98041,2.26587,0.00120265,0.00120265,0.00120265
10,148.083,1.53175,1.86258,1.63135,0.84628,0.57188,0.65425,0.26412,1.67039,1.8064,1.96507,0.00117435,0.00117435,0.00117435
11,162.419,1.52232,1.78631,1.6332,0.65323,0.51362,0.56183,0.27309,1.74862,2.02106,2.10988,0.00114606,0.00114606,0.00114606
12,176.78,1.45053,1.72114,1.56295,0.5653,0.52399,0.60769,0.29737,1.67972,2.003,2.06315,0.00111776,0.00111776,0.00111776
13,196.121,1.43229,1.60845,1.54876,0.70892,0.5459,0.66253,0.2805,1.89645,1.81029,2.13458,0.00108947,0.00108947,0.00108947
14,220.699,1.42898,1.60731,1.53983,0.65037,0.57564,0.64895,0.28871,1.681,1.78816,1.99117,0.00106118,0.00106118,0.00106118
15,245.945,1.43028,1.57078,1.56655,0.72151,0.64099,0.67888,0.3398,1.62176,1.69728,2.01786,0.00103288,0.00103288,0.00103288
16,270.974,1.3809,1.5448,1.52883,0.67907,0.66919,0.65215,0.29043,1.76933,1.77783,2.11548,0.00100459,0.00100459,0.00100459
17,294.382,1.38843,1.47106,1.50705,0.79752,0.54419,0.71695,0.33992,1.70891,1.78924,2.00451,0.000976293,0.000976293,0.000976293
18,317.735,1.35317,1.46476,1.49673,0.65502,0.64394,0.69511,0.32203,1.64462,1.57847,1.98728,0.000947999,0.000947999,0.000947999
19,341.562,1.34459,1.45077,1.50992,0.75946,0.68026,0.73195,0.37388,1.6302,1.47923,1.99857,0.000919704,0.000919704,0.000919704
20,365.296,1.31372,1.3537,1.46336,0.77032,0.6929,0.76346,0.36178,1.62076,1.4214,2.03707,0.00089141,0.00089141,0.00089141
21,388.582,1.34355,1.33008,1.49723,0.52011,0.6875,0.5682,0.31897,1.66437,1.45439,1.97002,0.000863116,0.000863116,0.000863116
22,412.198,1.27209,1.29142,1.42082,0.76512,0.73244,0.74901,0.40179,1.55226,1.2957,1.87442,0.000834822,0.000834822,0.000834822
23,435.829,1.27968,1.26926,1.45571,0.82976,0.6654,0.77356,0.40218,1.57183,1.39885,1.981,0.000806528,0.000806528,0.000806528
24,459.583,1.26216,1.21713,1.42125,0.63758,0.64202,0.69167,0.3375,1.67492,1.53147,2.05422,0.000778233,0.000778233,0.000778233
25,484.267,1.27412,1.28485,1.4608,0.79707,0.66162,0.74512,0.33335,1.61176,1.40861,2.02232,0.000749939,0.000749939,0.000749939
26,509.015,1.21883,1.17773,1.3988,0.80994,0.72348,0.80691,0.39758,1.49251,1.31901,1.85854,0.000721645,0.000721645,0.000721645
27,532.581,1.20812,1.19722,1.39642,0.79127,0.75,0.82176,0.39999,1.56569,1.26663,1.95825,0.000693351,0.000693351,0.000693351
28,557.366,1.16852,1.08897,1.37615,0.70362,0.81771,0.81273,0.43351,1.50536,1.43835,1.87089,0.000665057,0.000665057,0.000665057
29,580.907,1.16466,1.12828,1.37226,0.66408,0.57408,0.65171,0.38428,1.56283,1.37469,1.87716,0.000636762,0.000636762,0.000636762
30,604.768,1.1667,1.14018,1.36865,0.71797,0.72771,0.79452,0.42176,1.51559,1.38357,1.89998,0.000608468,0.000608468,0.000608468
31,629.416,1.15829,1.08806,1.37077,0.81403,0.80732,0.84434,0.41629,1.54257,1.3016,1.95929,0.000580174,0.000580174,0.000580174
32,653.45,1.19157,1.08613,1.38055,0.6503,0.83059,0.76004,0.41464,1.4309,1.22645,1.80814,0.00055188,0.00055188,0.00055188
33,677.901,1.11797,1.03098,1.34229,0.87107,0.65976,0.77214,0.40952,1.49257,1.32837,1.87979,0.000523586,0.000523586,0.000523586
34,701.476,1.11869,1.02155,1.33751,0.7595,0.71212,0.77088,0.40286,1.54895,1.2496,1.90664,0.000495291,0.000495291,0.000495291
35,725.132,1.10883,0.99385,1.33283,0.73154,0.75026,0.74955,0.427,1.47456,1.27835,1.83787,0.000466997,0.000466997,0.000466997
36,749.613,1.1129,0.96567,1.33486,0.80936,0.8448,0.84971,0.4598,1.49184,1.24998,1.86845,0.000438703,0.000438703,0.000438703
37,774.067,1.1046,0.98771,1.32441,0.85945,0.80224,0.85302,0.45757,1.44653,1.22552,1.82715,0.000410409,0.000410409,0.000410409
38,798.476,1.04825,0.93556,1.28486,0.7743,0.85606,0.86571,0.44227,1.49941,1.15285,1.8559,0.000382115,0.000382115,0.000382115
