epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0148,3.23328,4.33127,2.47999,0.00333,1,0.04853,0.0083,2.83316,4.39794,2.08904,4e-05,4e-05,4e-05
2,43.7806,3.13393,4.49549,2.35062,0.00333,1,0.01866,0.00526,2.41328,4.4822,1.99811,9.802e-05,9.802e-05,9.802e-05
3,46.1859,2.74791,4.29236,2.16063,0.00333,1,0.05301,0.01303,1.99962,4.30149,1.96979,0.000153664,0.000153664,0.000153664
4,48.8072,2.18081,3.54746,1.86688,0.00333,1,0.5601,0.10155,1.43588,4.06738,1.72517,0.000206932,0.000206932,0.000206932
5,51.5972,1.95569,3.03193,1.68321,0.00333,1,0.995,0.25585,1.52824,3.9333,1.69813,0.000257824,0.000257824,0.000257824
6,53.9367,1.87994,2.31241,1.56999,0.00333,1,0.995,0.3648,1.73327,3.33479,1.4899,0.00030634,0.00030634,0.00030634
7,56.2696,1.70308,2.0496,1.45637,0.00333,1,0.995,0.32979,1.66095,3.51851,1.47266,0.00035248,0.00035248,0.00035248
8,58.566,1.7043,2.27838,1.55539,0.00333,1,0.995,0.41636,1.82167,3.46697,1.46331,0.000396244,0.000396244,0.000396244
9,60.8987,1.63562,2.28358,1.51041,0.00333,1,0.995,0.3228,1.99243,3.73075,1.73764,0.000437632,0.000437632,0.000437632
10,63.1992,1.71959,2.33635,1.59894,0.00333,1,0.74623,0.32276,1.95243,3.77613,1.7912,0.000476644,0.000476644,0.000476644
11,65.7442,1.75369,2.06676,1.58297,0.00333,1,0.4151,0.14999,1.83551,3.68889,1.88729,0.00051328,0.00051328,0.00051328
12,68.2093,1.71574,2.25145,1.65046,0.00333,1,0.37346,0.10061,1.72896,3.88444,1.94158,0.00054754,0.00054754,0.00054754
13,70.4821,1.8451,2.36592,1.73946,0.00333,1,0.2512,0.05801,1.58831,3.89093,1.89313,0.000579424,0.000579424,0.000579424
14,72.7069,1.87485,2.11576,1.80502,0.00333,1,0.12067,0.02648,1.66755,3.75725,2.08693,0.000608932,0.000608932,0.000608932
15,75.0304,1.70725,2.20083,1.77947,0.00333,1,0.15696,0.03434,1.82025,3.75499,2.25743,0.000636064,0.000636064,0.000636064
