epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,265.006,1.16774,1.05832,1.30035,0.85571,0.83838,0.8612,0.35335,1.52189,1.44162,1.74246,0.000466997,0.000466997,0.000466997
36,271.731,1.09103,1.03537,1.23933,0.8508,0.77972,0.84549,0.34975,1.4869,1.48657,1.70992,0.000438703,0.000438703,0.000438703
37,278.434,1.07672,1.00655,1.22177,0.73074,0.77469,0.77152,0.37391,1.42304,1.3924,1.69924,0.000410409,0.000410409,0.000410409
38,285.798,1.1131,1.00288,1.24276,0.84013,0.7499,0.877,0.42412,1.45594,1.34099,1.72354,0.000382115,0.000382115,0.000382115
39,292.814,1.01092,0.93019,1.20325,0.8612,0.87373,0.88276,0.40491,1.42132,1.26221,1.66611,0.00035382,0.00035382,0.00035382
40,300.072,1.04555,0.95459,1.21894,0.8871,0.85571,0.88936,0.4072,1.39928,1.22655,1.68053,0.000325526,0.000325526,0.000325526
41,379.398,1.03317,0.95768,1.22095,0.53672,0.69192,0.56949,0.30993,1.46197,1.33241,1.76784,0.000297232,0.000297232,0.000297232
42,385.998,1.05404,0.94639,1.21508,0.90102,0.69697,0.82323,0.3509,1.49268,1.36069,1.78627,0.000268938,0.000268938,0.000268938
43,392.551,0.96618,0.88844,1.18737,0.90121,0.86739,0.87285,0.38593,1.45992,1.31807,1.72379,0.000240644,0.000240644,0.000240644
44,399.441,0.97539,0.85864,1.17639,0.85419,0.85607,0.87552,0.38288,1.39544,1.31916,1.69857,0.000212349,0.000212349,0.000212349
45,407.588,0.95555,0.84128,1.16738,0.82724,0.8434,0.85909,0.38671,1.36963,1.31724,1.66768,0.000184055,0.000184055,0.000184055
46,415.052,0.92965,0.81332,1.15384,0.8538,0.79498,0.85191,0.39631,1.35541,1.28838,1.62133,0.000155761,0.000155761,0.000155761
47,421.703,0.95799,0.83205,1.17758,0.87574,0.79821,0.85808,0.36986,1.34885,1.29098,1.61768,0.000127467,0.000127467,0.000127467
48,428.523,0.91965,0.82612,1.15047,0.85955,0.7625,0.84297,0.34847,1.35445,1.28141,1.65521,9.91726e-05,9.91726e-05,9.91726e-05
49,434.974,0.91319,0.79389,1.15453,0.87203,0.81139,0.85263,0.34716,1.33246,1.29447,1.63706,7.08784e-05,7.08784e-05,7.08784e-05
50,441.733,0.93583,0.80826,1.14526,0.78674,0.87579,0.84979,0.33504,1.32223,1.30293,1.61542,4.25842e-05,4.25842e-05,4.25842e-05
