epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2822,1.745,3.45069,1.65669,0.02351,0.91919,0.17735,0.08305,1.26332,3.24014,1.50429,0.00020006,0.00020006,0.00020006
2,30.4414,1.41304,2.49026,1.46294,0.02338,0.92929,0.57159,0.27032,1.51016,3.24992,1.72216,0.000406205,0.000406205,0.000406205
3,37.9107,1.43419,2.40407,1.49258,0.94743,0.06061,0.41148,0.13711,1.47507,2.99885,1.73629,0.000603861,0.000603861,0.000603861
4,45.3844,1.48161,2.26936,1.52239,0.75993,0.14915,0.58206,0.19838,1.77804,2.85676,2.10068,0.000793029,0.000793029,0.000793029
5,53.572,1.49038,2.17181,1.53192,0.78676,0.14141,0.60491,0.22451,1.57907,2.73795,1.94995,0.000973709,0.000973709,0.000973709
6,60.2379,1.46041,2.09053,1.4857,0.75869,0.50505,0.57153,0.23161,1.96714,2.53828,2.18877,0.0011459,0.0011459,0.0011459
7,67.0857,1.4242,1.96595,1.43001,0.51233,0.50505,0.47262,0.15914,1.86618,2.6304,2.15073,0.00125923,0.00125923,0.00125923
8,73.7745,1.51761,2.09763,1.48487,0.19218,0.47475,0.2403,0.08948,1.94507,2.5652,2.26502,0.00123094,0.00123094,0.00123094
9,80.066,1.42356,1.89779,1.4493,0.56947,0.70134,0.69923,0.25492,1.71231,2.33664,2.00289,0.00120265,0.00120265,0.00120265
10,86.8099,1.42223,1.78463,1.45595,0.79143,0.48485,0.47667,0.20503,1.79968,2.35462,2.182,0.00117435,0.00117435,0.00117435
11,93.4866,1.41909,1.81161,1.43527,0.59603,0.67025,0.69382,0.28475,1.89599,2.30748,2.31862,0.00114606,0.00114606,0.00114606
12,100.367,1.39098,1.68533,1.43463,0.95412,0.42494,0.80521,0.33406,1.75829,2.30649,2.01134,0.00111776,0.00111776,0.00111776
13,107.892,1.32963,1.65288,1.37961,0.52016,0.66885,0.70307,0.3101,1.74824,1.96618,2.04243,0.00108947,0.00108947,0.00108947
14,114.705,1.38284,1.59892,1.41992,0.58693,0.84701,0.75972,0.32527,1.71666,2.22662,1.95542,0.00106118,0.00106118,0.00106118
15,121.684,1.39527,1.63426,1.43568,0.8212,0.75835,0.82206,0.31809,1.8871,2.04935,2.1358,0.00103288,0.00103288,0.00103288
16,129.532,1.37741,1.56957,1.44471,0.41484,0.79293,0.68463,0.30408,1.69204,1.80841,1.94228,0.00100459,0.00100459,0.00100459
17,136.712,1.33973,1.49252,1.39801,0.70442,0.78493,0.80527,0.29187,1.74004,1.83206,1.95886,0.000976293,0.000976293,0.000976293
18,143.913,1.36051,1.43915,1.39057,0.78796,0.75678,0.83519,0.33432,1.49245,1.60745,1.83435,0.000947999,0.000947999,0.000947999
19,151.048,1.24603,1.38196,1.32088,0.64318,0.80808,0.80766,0.33399,1.76681,1.75447,1.94171,0.000919704,0.000919704,0.000919704
20,157.985,1.27007,1.36574,1.36199,0.76246,0.76891,0.83173,0.35352,1.63111,1.59012,1.85289,0.00089141,0.00089141,0.00089141
21,165.411,1.25352,1.31403,1.33517,0.71849,0.78788,0.76068,0.34858,1.59495,1.73149,1.81016,0.000863116,0.000863116,0.000863116
22,172.422,1.24636,1.33374,1.33034,0.7518,0.69697,0.77071,0.31081,1.46623,1.6594,1.83606,0.000834822,0.000834822,0.000834822
23,179.372,1.24608,1.31354,1.34692,0.54321,0.81818,0.66007,0.26735,1.64216,1.67913,1.82435,0.000806528,0.000806528,0.000806528
24,186.593,1.23082,1.27625,1.31226,0.65233,0.76833,0.76614,0.3175,1.59256,1.66651,1.84027,0.000778233,0.000778233,0.000778233
25,193.402,1.29149,1.3114,1.37659,0.92383,0.80157,0.86216,0.38472,1.52953,1.57628,1.79294,0.000749939,0.000749939,0.000749939
26,200.961,1.22541,1.21211,1.3226,0.86289,0.82324,0.86307,0.40261,1.49777,1.44727,1.82963,0.000721645,0.000721645,0.000721645
27,207.937,1.19775,1.16719,1.27995,0.84204,0.8144,0.85708,0.38676,1.48347,1.41251,1.79078,0.000693351,0.000693351,0.000693351
28,215.405,1.16571,1.07029,1.27582,0.95343,0.81087,0.86554,0.37031,1.48462,1.4183,1.78386,0.000665057,0.000665057,0.000665057
29,222.579,1.16447,1.13305,1.29855,0.74641,0.71817,0.74671,0.32102,1.56626,1.44966,1.80184,0.000636762,0.000636762,0.000636762
30,229.543,1.17722,1.1161,1.28316,0.65034,0.78283,0.71584,0.34625,1.49115,1.46045,1.73325,0.000608468,0.000608468,0.000608468
31,236.67,1.14085,1.07135,1.2685,0.86176,0.77612,0.84237,0.38313,1.49628,1.37385,1.77232,0.000580174,0.000580174,0.000580174
32,243.946,1.17174,1.0986,1.28165,0.84032,0.7555,0.82571,0.36106,1.51833,1.53428,1.76358,0.00055188,0.00055188,0.00055188
33,250.909,1.10915,1.09992,1.25106,0.88944,0.82094,0.86092,0.35055,1.45437,1.50174,1.70333,0.000523586,0.000523586,0.000523586
34,257.656,1.12393,1.01988,1.23723,0.8928,0.85194,0.87654,0.38948,1.50152,1.41709,1.68093,0.000495291,0.000495291,0.000495291
