epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,4501.73,1.01433,0.72527,1.3247,0.69776,0.45837,0.5029,0.35211,0.94015,0.57902,1.39206,0.007426,0.007426,0.007426
15,4811.84,1.00487,0.71425,1.31756,0.70685,0.48642,0.52109,0.37884,0.9271,0.57779,1.37187,0.007228,0.007228,0.007228
16,5125.03,0.99927,0.70887,1.31817,0.57033,0.46641,0.48897,0.33869,0.95523,0.59257,1.39441,0.00703,0.00703,0.00703
17,5438.59,0.97856,0.68258,1.29791,0.54787,0.5377,0.53721,0.36832,0.9223,0.58713,1.37345,0.006832,0.006832,0.006832
18,5756.51,0.97788,0.67956,1.29808,0.68265,0.51283,0.52302,0.36155,0.93906,0.55278,1.37844,0.006634,0.006634,0.006634
19,6074.39,0.9785,0.67496,1.30073,0.66386,0.54706,0.56638,0.3843,0.91489,0.52897,1.36434,0.006436,0.006436,0.006436
20,6391.29,0.96526,0.66581,1.29145,0.68213,0.50106,0.51542,0.35688,0.9168,0.5743,1.36052,0.006238,0.006238,0.006238
21,6704.45,0.95946,0.65602,1.28394,0.69385,0.49727,0.54253,0.37937,0.92144,0.55735,1.36865,0.00604,0.00604,0.00604
22,7019.19,0.95161,0.64882,1.28102,0.7871,0.52653,0.57189,0.39799,0.92469,0.52054,1.3678,0.005842,0.005842,0.005842
23,7335.71,0.94981,0.64338,1.27835,0.60445,0.55469,0.54886,0.38812,0.90033,0.5377,1.35028,0.005644,0.005644,0.005644
24,7649.03,0.94681,0.63895,1.27624,0.71668,0.51887,0.58782,0.42439,0.88964,0.51782,1.33534,0.005446,0.005446,0.005446
25,7963.07,0.93708,0.62767,1.2681,0.60032,0.56605,0.57678,0.40767,0.89795,0.52275,1.34514,0.005248,0.005248,0.005248
26,8274.79,0.92391,0.61568,1.26148,0.71172,0.55825,0.59191,0.38535,0.90449,0.5074,1.35101,0.00505,0.00505,0.00505
27,8585.5,0.92274,0.60948,1.26118,0.73075,0.57141,0.59312,0.41947,0.88408,0.49848,1.32754,0.004852,0.004852,0.004852
28,8901.9,0.91293,0.60751,1.25359,0.70208,0.57109,0.60867,0.41838,0.88908,0.51415,1.32968,0.004654,0.004654,0.004654
29,9214.5,0.91706,0.60355,1.25846,0.62512,0.56869,0.5811,0.41384,0.88195,0.50557,1.32701,0.004456,0.004456,0.004456
30,9528.6,0.90534,0.59651,1.24934,0.62099,0.60226,0.61467,0.41824,0.87769,0.5033,1.32172,0.004258,0.004258,0.004258
31,9843.71,0.89979,0.5895,1.24701,0.7968,0.54841,0.61023,0.40371,0.87999,0.49328,1.32501,0.00406,0.00406,0.00406
32,10158.7,0.88997,0.58459,1.2387,0.78884,0.53198,0.62893,0.42941,0.8751,0.49432,1.32243,0.003862,0.003862,0.003862
33,10475.6,0.89389,0.579,1.24283,0.65541,0.60411,0.60753,0.42125,0.87927,0.49143,1.32032,0.003664,0.003664,0.003664
34,10791.1,0.88569,0.5779,1.23498,0.63972,0.62399,0.61427,0.42634,0.87699,0.48534,1.31836,0.003466,0.003466,0.003466
35,11107.3,0.88135,0.56687,1.23472,0.71246,0.59103,0.62763,0.44575,0.87271,0.49082,1.32482,0.003268,0.003268,0.003268
36,11418.7,0.87549,0.56516,1.22953,0.7189,0.56356,0.63746,0.44842,0.87386,0.48783,1.31904,0.00307,0.00307,0.00307
37,11736.4,0.86636,0.55416,1.22293,0.67434,0.55534,0.60779,0.44359,0.86939,0.4855,1.31304,0.002872,0.002872,0.002872
38,12052.4,0.8566,0.55092,1.21922,0.68462,0.62404,0.63748,0.45411,0.86711,0.48307,1.30989,0.002674,0.002674,0.002674
39,12364.8,0.8569,0.54252,1.21794,0.74681,0.58183,0.64705,0.45226,0.86363,0.47648,1.3091,0.002476,0.002476,0.002476
40,12676.7,0.85273,0.53708,1.21518,0.68672,0.6197,0.66222,0.46636,0.86379,0.47036,1.30613,0.002278,0.002278,0.002278
41,13067.3,0.7614,0.42528,1.2434,0.67393,0.65784,0.65909,0.46297,0.86623,0.46819,1.30835,0.00208,0.00208,0.00208
42,13366.3,0.74829,0.41186,1.23584,0.72807,0.65846,0.68193,0.47275,0.86298,0.45974,1.30666,0.001882,0.001882,0.001882
43,13663.4,0.73636,0.40112,1.2228,0.71431,0.61554,0.66078,0.46591,0.86126,0.46336,1.30692,0.001684,0.001684,0.001684
44,13963.3,0.72734,0.39075,1.21493,0.69905,0.66602,0.69122,0.47973,0.86349,0.46485,1.31077,0.001486,0.001486,0.001486
45,14262.3,0.71801,0.38431,1.20747,0.74512,0.65613,0.68765,0.46923,0.86456,0.46113,1.31371,0.001288,0.001288,0.001288
46,14564.7,0.70813,0.37528,1.19968,0.72359,0.64021,0.67151,0.46518,0.86356,0.4613,1.31378,0.00109,0.00109,0.00109
47,14865.4,0.69908,0.36836,1.1921,0.73067,0.63899,0.67077,0.45909,0.86838,0.4636,1.3173,0.000892,0.000892,0.000892
48,15175.1,0.68829,0.36076,1.18594,0.70522,0.63686,0.67181,0.46623,0.86854,0.46375,1.31848,0.000694,0.000694,0.000694
49,15484.1,0.67929,0.35445,1.18073,0.68488,0.65712,0.67429,0.47159,0.8689,0.46294,1.31862,0.000496,0.000496,0.000496
50,15780.8,0.67681,0.35204,1.17339,0.69563,0.65256,0.67876,0.47419,0.87243,0.46224,1.32307,0.000298,0.000298,0.000298
