epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.99,1.14601,1.90535,1.47513,0.94013,0.28782,0.30023,0.19944,1.10774,1.31802,1.56957,0.0033292,0.0033292,0.0033292
2,695.46,1.13494,1.28583,1.434,0.64492,0.28126,0.28198,0.17724,1.25864,1.31638,1.71877,0.00653061,0.00653061,0.00653061
3,1017.31,1.21533,1.16375,1.48459,0.69593,0.33458,0.34187,0.22178,1.17487,1.071,1.62271,0.00960003,0.00960003,0.00960003
4,1335.39,1.23364,1.09878,1.49503,0.95437,0.29673,0.32177,0.21652,1.14049,0.95825,1.59601,0.009406,0.009406,0.009406
5,1649.1,1.17772,0.98546,1.45307,0.64829,0.34213,0.3519,0.23389,1.08946,0.83829,1.55428,0.009208,0.009208,0.009208
6,1967.74,1.14608,0.92856,1.42751,0.70337,0.3498,0.37176,0.24836,1.06858,0.79374,1.51277,0.00901,0.00901,0.00901
7,2280.16,1.11138,0.87271,1.39474,0.73627,0.41325,0.42474,0.27786,1.06803,0.74692,1.51072,0.008812,0.008812,0.008812
8,2595.02,1.0928,0.8406,1.38672,0.74961,0.45457,0.42293,0.28788,1.01027,0.68745,1.43906,0.008614,0.008614,0.008614
9,2916.87,1.07531,0.81145,1.37178,0.46726,0.49711,0.43269,0.30024,0.99596,0.66597,1.44425,0.008416,0.008416,0.008416
10,3232.24,1.05462,0.78482,1.35375,0.5426,0.54414,0.52402,0.36598,0.94811,0.61313,1.39526,0.008218,0.008218,0.008218
11,3547.11,1.04471,0.76812,1.35072,0.82215,0.44654,0.4757,0.30455,0.97603,0.61692,1.42009,0.00802,0.00802,0.00802
12,3873.8,1.02726,0.74234,1.33432,0.55976,0.41445,0.42861,0.28909,0.99296,0.64836,1.42134,0.007822,0.007822,0.007822
13,4186.32,1.01791,0.73012,1.32776,0.58022,0.53245,0.48844,0.32361,0.95321,0.62339,1.3975,0.007624,0.007624,0.007624
